id,host_id,host_since,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_value,latitude,longitude
43174633,48753127,2015-11-11,True,1,True,Noord-Oost,Entire cottage,Entire home/apt,1.0,1.0,135.0,1,1125,167,2020-05-05,2022-06-04,4.95,4.91,52.4009,4.935
39333210,276787388,2019-07-17,True,1,True,Noord-West,Entire home,Entire home/apt,2.0,3.0,107.0,1,1125,81,2019-12-22,2022-05-31,4.98,4.83,52.41,4.895
50335658,347867197,2020-05-28,True,2,True,Gaasperdam - Driemond,Tent,Entire home/apt,1.0,1.0,56.0,3,30,3,2021-07-26,2021-08-25,5.0,4.67,52.3069,4.9881
33293787,250750735,2019-03-23,True,1,True,Noord-West,Entire rental unit,Entire home/apt,1.0,2.0,120.0,5,1125,68,2019-04-14,2022-05-21,4.88,4.69,52.41,4.895
48537492,14259247,2014-04-14,False,1,True,Gaasperdam - Driemond,Entire rental unit,Entire home/apt,2.0,3.0,115.0,2,21,1,2021-03-29,2021-03-29,5.0,5.0,52.3069,4.9881
33092943,212230814,2018-08-28,False,5,True,Buitenveldert - Zuidas,Entire serviced apartment,Entire home/apt,2.0,4.0,376.0,1,365,77,2019-04-08,2022-05-26,4.81,4.52,52.333,4.873
31852191,93495880,2016-09-04,True,1,True,Noord-Oost,Entire rental unit,Entire home/apt,1.0,1.0,104.0,4,60,32,2019-02-15,2022-05-30,5.0,5.0,52.4009,4.935
29183689,6310114,2013-05-09,True,1,True,De Aker - Nieuw Sloten,Entire guesthouse,Entire home/apt,,2.0,123.0,2,7,99,2019-04-17,2022-06-03,4.91,4.69,52.345,4.805
32948461,247938953,2019-03-10,False,1,True,De Aker - Nieuw Sloten,Entire home,Entire home/apt,2.0,2.0,108.0,3,21,173,2019-03-18,2022-06-03,4.69,4.57,52.345,4.805
32985440,248250296,2019-03-11,True,1,True,Noord-Oost,Entire bungalow,Entire home/apt,2.0,4.0,152.0,2,12,58,2019-04-21,2022-05-16,4.83,4.74,52.4009,4.935
33092889,212230814,2018-08-28,False,5,True,Buitenveldert - Zuidas,Entire serviced apartment,Entire home/apt,1.0,1.0,246.0,1,365,13,2019-04-08,2020-02-24,4.69,4.85,52.333,4.873
35541436,3889424,2012-10-16,False,1,True,Buitenveldert - Zuidas,Entire home,Entire home/apt,3.0,3.0,332.0,7,1125,3,2019-07-28,2019-08-11,5.0,5.0,52.333,4.873
47408350,9733671,2013-10-31,False,1,True,Gaasperdam - Driemond,Entire guest suite,Entire home/apt,,1.0,100.0,2,7,9,2021-08-15,2022-05-29,4.56,4.56,52.3069,4.9881
40358735,290679389,2019-09-01,False,2,True,Watergraafsmeer,Private room in home,Private room,2.0,2.0,160.0,2,21,38,2020-01-28,2022-05-22,4.63,4.58,52.349,4.941
49376693,398265371,2021-04-23,False,4,True,Buitenveldert - Zuidas,Room in boutique hotel,Private room,1.0,2.0,162.0,1,360,374,2021-05-02,2022-05-28,4.65,4.58,52.333,4.873
29651790,15660300,2014-05-18,False,1,True,Noord-Oost,Entire cottage,Entire home/apt,1.0,1.0,110.0,3,42,7,2019-04-21,2022-06-01,5.0,5.0,52.4009,4.935
27459100,71418097,2016-05-11,False,1,True,Watergraafsmeer,Private room in townhouse,Private room,1.0,2.0,87.0,4,1125,2,2019-04-21,2021-08-09,5.0,5.0,52.349,4.941
35680828,268409882,2019-06-13,False,1,True,Noord-Oost,Entire villa,Entire home/apt,4.0,4.0,250.0,5,1125,7,2019-08-19,2022-05-07,4.86,4.57,52.4009,4.935
39516887,33515533,2015-05-16,False,2,True,Geuzenveld - Slotermeer,Entire home,Entire home/apt,4.0,4.0,65.0,90,724,2,2020-08-15,2021-12-31,5.0,5.0,52.377,4.828
51796348,18300286,2014-07-18,False,1,True,Gaasperdam - Driemond,Private room in home,Private room,1.0,3.0,72.0,2,40,6,2021-10-05,2022-05-22,5.0,4.5,52.3069,4.9881
23347675,517215,2011-04-18,False,319,True,Osdorp,Entire home,Entire home/apt,3.0,3.0,77.0,1,1125,18,2019-04-15,2022-05-22,4.78,4.83,52.355,4.798
43808107,233838549,2019-01-02,False,1,True,Buitenveldert - Zuidas,Entire rental unit,Entire home/apt,1.0,2.0,125.0,2,30,9,2021-05-09,2022-05-23,4.89,4.78,52.333,4.873
37902096,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Entire rental unit,Entire home/apt,1.0,2.0,229.0,1,1125,39,2019-09-15,2022-05-16,4.54,4.23,52.345,4.805
44785639,361524519,2020-08-10,False,1,True,De Aker - Nieuw Sloten,Boat,Entire home/apt,1.0,1.0,81.0,1,5,47,2020-09-27,2022-05-29,4.64,4.49,52.345,4.805
34356003,259357507,2019-05-02,False,1,True,Watergraafsmeer,Entire home,Entire home/apt,1.0,3.0,98.0,4,1125,32,2019-05-23,2022-05-01,4.65,4.65,52.349,4.941
31506499,4577788,2013-01-03,False,1,True,Geuzenveld - Slotermeer,Private room in home,Private room,2.0,2.0,92.0,2,14,62,2019-01-27,2022-05-30,4.94,4.76,52.377,4.828
34635314,16767960,2014-06-14,True,1,True,Osdorp,Entire guesthouse,Entire home/apt,1.0,1.0,100.0,2,14,70,2020-08-26,2022-05-29,4.96,4.86,52.355,4.798
37222160,30405589,2015-04-01,True,6,True,Noord-Oost,Private room in bed and breakfast,Private room,2.0,5.0,160.0,2,14,21,2019-08-17,2022-06-04,5.0,4.9,52.4009,4.935
51161993,9932243,2013-11-11,False,1,True,Geuzenveld - Slotermeer,Entire guesthouse,Entire home/apt,1.0,1.0,99.0,4,1125,16,2021-08-08,2022-05-29,4.69,4.44,52.377,4.828
15018653,91939143,2016-08-26,False,2,True,Osdorp,Entire home,Entire home/apt,2.0,3.0,95.0,3,90,41,2019-09-17,2022-05-17,4.56,4.49,52.355,4.798
52511290,27494830,2015-02-09,True,1,True,Watergraafsmeer,Private room in bed and breakfast,Private room,1.0,2.0,59.0,1,1125,31,2021-12-01,2022-06-01,4.97,4.97,52.349,4.941
39798460,2363190,2012-05-13,False,1,True,Noord-Oost,Entire home,Entire home/apt,4.0,3.0,150.0,5,25,4,2021-04-05,2022-05-29,5.0,5.0,52.4009,4.935
51395892,33375555,2015-05-14,True,1,True,Geuzenveld - Slotermeer,Entire home,Entire home/apt,3.0,3.0,375.0,3,365,21,2021-09-24,2022-05-29,4.76,4.57,52.377,4.828
35855328,269701230,2019-06-19,False,1,True,Osdorp,Entire rental unit,Entire home/apt,2.0,2.0,125.0,2,1125,127,2019-11-17,2022-05-18,4.68,4.57,52.355,4.798
49647114,347281084,2020-05-23,False,5,True,Noord-Oost,Entire rental unit,Entire home/apt,1.0,16.0,243.0,2,30,17,2021-06-20,2022-05-20,4.71,4.53,52.4009,4.935
43124143,6053480,2013-04-23,True,3,True,Noord-West,Private room in home,Private room,1.0,1.0,59.0,3,7,29,2020-06-26,2022-05-16,4.86,4.83,52.41,4.895
35357858,30405589,2015-04-01,True,6,True,Noord-Oost,Private room in bed and breakfast,Private room,1.0,2.0,85.0,1,1125,5,2019-10-04,2022-05-20,5.0,4.6,52.4009,4.935
51029289,347867197,2020-05-28,True,2,True,Gaasperdam - Driemond,Entire place,Entire home/apt,1.0,1.0,55.0,3,365,6,2021-07-30,2021-10-19,5.0,5.0,52.3069,4.9881
44248265,347867197,2020-05-28,True,2,True,Gaasperdam - Driemond,Tiny home,Entire home/apt,1.0,1.0,60.0,3,1125,58,2020-07-24,2022-05-19,4.83,4.74,52.3069,4.9881
37898759,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Entire rental unit,Entire home/apt,1.0,2.0,245.0,1,1125,131,2019-09-01,2022-05-22,4.33,4.36,52.345,4.805
37902120,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Entire rental unit,Entire home/apt,1.0,2.0,249.0,1,1125,19,2020-02-02,2022-05-15,4.37,4.21,52.345,4.805
33551474,250365522,2019-03-21,True,1,True,Watergraafsmeer,Private room in bed and breakfast,Private room,1.0,1.0,99.0,1,14,93,2019-04-12,2022-06-03,4.95,4.8,52.349,4.941
39698183,305112181,2019-10-28,False,1,True,Osdorp,Private room in home,Private room,1.0,1.0,75.0,1,14,22,2019-12-01,2022-05-30,5.0,4.86,52.355,4.798
37902760,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Entire rental unit,Entire home/apt,1.0,1.0,210.0,1,1125,7,2020-01-02,2021-10-18,4.0,3.86,52.345,4.805
43777335,44839358,2015-09-22,True,1,True,Watergraafsmeer,Entire condo,Entire home/apt,1.0,1.0,90.0,2,365,79,2020-07-05,2022-06-03,4.85,4.67,52.349,4.941
43575456,347867197,2020-05-28,True,2,True,Gaasperdam - Driemond,Tiny home,Entire home/apt,1.0,1.0,60.0,3,1125,62,2020-06-30,2022-05-19,4.81,4.58,52.3069,4.9881
23069605,43555311,2015-09-07,True,1,True,Watergraafsmeer,Entire guest suite,Entire home/apt,,1.0,78.0,2,30,122,2019-02-01,2022-06-02,4.93,4.8,52.349,4.941
43678670,348834142,2020-06-05,False,1,True,Gaasperdam - Driemond,Entire villa,Entire home/apt,3.0,4.0,225.0,5,1125,1,2020-07-28,2020-07-28,5.0,5.0,52.3069,4.9881
35670823,14347746,2014-04-16,False,2,True,Watergraafsmeer,Entire rental unit,Entire home/apt,1.0,1.0,136.0,1,30,13,2019-07-14,2022-05-13,4.85,4.62,52.349,4.941
34712304,12857826,2014-03-06,False,1,True,Noord-West,Private room in home,Private room,1.0,1.0,58.0,1,7,15,2019-09-15,2022-05-08,4.8,4.8,52.41,4.895
29979551,174174070,2018-02-19,False,6,True,De Aker - Nieuw Sloten,Room in aparthotel,Private room,1.0,2.0,218.0,1,1125,6,2019-04-25,2021-12-31,4.17,4.0,52.345,4.805
40606723,76751526,2016-06-09,False,7,True,Geuzenveld - Slotermeer,Entire serviced apartment,Entire home/apt,1.0,1.0,168.0,1,1125,815,2019-12-16,2022-06-02,4.71,4.58,52.377,4.828
29979535,174174070,2018-02-19,False,6,True,De Aker - Nieuw Sloten,Room in aparthotel,Private room,2.0,4.0,279.0,6,1125,43,2019-01-04,2022-06-02,4.44,4.3,52.345,4.805
30363200,25684350,2015-01-06,False,5,True,De Aker - Nieuw Sloten,Room in boutique hotel,Private room,1.0,1.0,166.0,1,30,10,2022-03-17,2022-05-22,4.4,3.9,52.345,4.805
